config_id,mi_k,reduction,n_components,w_mg,model,metabolite,r2,rmse,mae,n_samples,n_features,n_mg_features,n_soil_features
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:AIONOLUJZLIMTK-UHFFFAOYSA-N,0.4701815514436408,4.2269622882785525,3.1472385299141883,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:BJRNKVDFDLYUGJ-RMPHRYRLSA-N,0.3071207195753973,5.051385950336649,4.417631472016588,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:CKEXCBVNKRHAMX-UHFFFAOYSA-N,0.3157249880176417,4.455283486342097,3.6254697803727853,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.34398909980771597,4.609323086522972,3.7649430463616667,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:GUNGQVJAKLIYDG-JXMROGBWSA-N,0.3683464254332306,3.990524076719315,2.984646062275106,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:GYUCMTKUEQLBJW-UHFFFAOYSA-N,0.4231037097501853,3.65678954631311,2.4863612928138035,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:KDYFGRWQOYBRFD-UHFFFAOYSA-N,0.3429635605976705,4.752919089386928,3.538614641226823,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:LTSJJOKAWSCMBC-UHFFFAOYSA-N,0.452843487053753,3.9708691641370844,3.1489202263814198,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:NGFMICBWJRZIBI-UHFFFAOYSA-N,0.4009438125207355,1.344299875692898,1.135273552082913,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:OKVJCVWFVRATSG-UHFFFAOYSA-N,0.3093659890399081,4.967710858414379,3.990057037137987,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:RGHHSNMVTDWUBI-UHFFFAOYSA-N,0.6958272365644098,3.6160528667180527,2.489874943107589,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:UGAGPNKCDRTDHP-UHFFFAOYSA-N,0.28262742214127445,4.874151088756853,3.8950669545412775,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:WLJVXDMOQOGPHL-UHFFFAOYSA-N,0.5987318612570797,3.5520248095303275,2.4842328684625077,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_negative|IK:ZWNLSRDFHQCTQW-UHFFFAOYSA-N,0.34205219664845443,4.494483654146975,3.5297694961537784,105,3059,3039,20
C000,300,sparsepca,50,0.6,rf_strong,C18_positive|IK:GHOKWGTUZJEAQD-UHFFFAOYSA-N,0.3525911744405199,4.649653487865049,3.7011058212459043,105,3059,3039,20
